series,count,mean,std,min,25%,50%,75%,max
EG.ELC.COAL.ZS,6090.0,13.93144309393042,24.585706681316754,0.0,0.0,0.0,18.629170120423847,100.0
EG.ELC.FOSL.ZS,6406.0,63.286212792568705,34.51634166623597,0.0015681108968026,35.34573732674565,72.31522895971219,96.82697990543734,100.0
EG.ELC.HYRO.ZS,6279.0,29.083974230839488,33.04078035673369,0.0,0.1578162850023765,13.5461087420043,55.0179670119704,100.0
EG.ELC.NGAS.ZS,6123.0,19.032454690945755,28.742712474584458,0.0,0.0,1.69367005060188,27.266562792752147,100.0
EG.ELC.NUCL.ZS,5980.0,4.365605892791103,12.722931750108279,0.0,0.0,0.0,0.0,86.821046668083
EG.ELC.PETR.ZS,6377.0,31.95590707625403,37.894368065116836,0.0,1.0021438585682,10.2705522844153,64.1066214561552,100.0
EG.ELC.RNEW.ZS,6227.0,32.69188776167258,33.55782325269969,0.0,2.7840499373131298,18.974311826096674,59.91311797374945,100.0
EG.ELC.RNWX.KH,6090.0,5758809065.533188,47641392733.84676,-1622090000.0,0.0,17430000.0,597582500.0,2066596584966.276
EG.ELC.RNWX.ZS,6061.0,4.479827433346327,9.69591572126248,-8.06478090668014,0.0,0.57853057633084,4.57663287859157,97.3026963043232
EG.FEC.RNEW.ZS,7069.0,30.773169964624138,30.332198518844386,0.0,3.9,19.9,53.1,98.3
EG.GDP.PUSE.KO.PP.KD,5665.0,16.882183476982686,92.60114336569987,2.17468274481095,7.76142686715685,11.6261121030533,15.799829699356312,3739.6440574653207
EG.USE.COMM.FO.ZS,5488.0,61.98299959664862,33.485604759358914,0.0,34.04,72.945,90.35249999999999,100.00312661241995
EG.USE.COMM.GD.PP.KD,5665.0,112.38888236934346,90.07149763706391,23.336008958114114,63.3885887730841,86.1783025587,128.976915045277,1332.39390042106
EG.USE.CRNW.ZS,4939.0,23.825363823898243,29.11816123531073,0.0,2.29541119708389,9.90625240413679,38.3106067033643,97.7151676045917
EG.USE.ELEC.KH.PC,5025.0,3740.554811461571,5240.702164814302,24.265299940043,556.989127592985,1997.1380926627,5050.16920301742,55085.1684476218
EG.USE.PCAP.KG.OE,5936.0,2135.920297070945,2757.8770646302287,61.45334418784238,454.46164403613477,1061.115225078785,2690.5130868934298,21557.4750763638
EN.GHG.CO2.LU.MT.CE.AR5,4259.0,-12.05125041855134,153.99668387308517,-1341.714,-12.1708191111111,-0.922,2.313815184485411,2482.396999999999
EN.GHG.CO2.MT.CE.AR5,6902.0,144.8066942915097,711.1484617035477,0.0,1.04975,8.2569,57.60709999999998,13259.639000000003
EN.GHG.CO2.PC.CE.AR5,6902.0,4.875616470109305,9.566525520070128,0.0,0.489770442441515,2.15714807157761,6.2375679901436705,202.865184351252
EN.GHG.CO2.RT.GDP.PP.KD,6397.0,0.23784709812287838,0.4981752752923535,0.0,0.0891823483502955,0.159087944593166,0.252220233210096,11.9088317660532
EN.GHG.CO2.TR.MT.CE.AR5,6596.0,28.31766955730746,130.35478413940046,0.0101,0.528825,2.5567,13.1493,1807.7222
EN.GHG.CO2.ZG.AR5,6534.0,416.4355796191914,3491.041195313173,-74.9941877422655,0.0,39.33699396619705,142.88887873778899,62800.0
GB.XPD.RSDV.GD.ZS,3397.0,173509.9258286381,7000469.9841099875,0.02221909063783563,0.19332600235939001,0.493319988250732,1.23124003410339,381979351.90608186
IE.PPI.ENGY.CD,2426.0,31405667289169.38,986338160499025.1,4183702.8078775406,40506578.94736842,145663333.3333333,486762500.0,4.406561860223299e+16
IE.PPI.ICTI.CD,2142.0,7.530783821494399e+76,3.4806307703228255e+78,478327.91153696674,35432551.67993212,214118863.63636363,868094722.2222222,1.610896218958427e+80
IE.PPI.TRAN.CD,1729.0,951309365.5898169,3497342644.965955,1830366.027130532,72577906.93018554,206500000.0,552285493.9892428,69796826204.15959
IE.PPI.WATR.CD,690.0,966504895.6782672,5473329482.144053,5121953.03210464,23673815.789473683,114561538.46153846,289332542.85714287,79978971123.58893
IE.PPN.ENGY.CD,2177.0,808697517.5117615,4688904892.02702,6045245.354196282,52500000.0,153852631.57894737,469000000.0,154233752911.3177
IE.PPN.ICTI.CD,808.0,3.3986970386638533e+45,9.443513134795883e+46,5200000.0,20943181.818181816,124900000.0,417561818.1818182,2.6837347707122027e+48
IE.PPN.TRAN.CD,1719.0,972211549.5032941,3505445425.729194,1500000.0,76237500.0,213750000.0,565833280.2578328,69796826204.15959
IE.PPN.WATR.CD,673.0,992581713.6799027,5542746781.035224,5121953.03210464,24134285.714285716,114000000.0,288500000.0,79978971123.58893
IT.NET.USER.ZS,6901.0,27.670822981999642,31.650142671510938,0.0,0.484,11.7,53.6,100.0
NY.GDP.MKTP.CD,7058.0,272463330897.8108,1314235574750.5857,9542900.90136504,3062947130.304533,13818862185.75341,91471990782.56995,27720709000000.004
NY.GDP.PCAP.CD,7058.0,13561.731466180026,22370.532992812954,163.197571684381,1135.0126561077425,4085.491592397915,17411.87875702765,256580.515122745
SE.ADT.LITR.ZS,4162.0,81.72286443464795,19.936484745708757,27.89000015258789,71.01602478027343,90.33454178553205,97.28571428571429,111.3496246899771
SE.SEC.ENRR,6391.0,76.89595800197986,33.328916715102906,8.11277008056641,51.653551101684556,84.2107772827148,99.12570953369145,257.00253152222626
SE.TER.ENRR,5981.0,41.22625816784347,194.35294600332998,0.588230013847351,9.21872043609619,23.3899803161621,51.0627593994141,7972.76196595936
SE.XPD.TOTL.GD.ZS,5557.0,4.4174927716766,2.413358093280124,1.13670003414154,2.96396994590759,4.135950088500973,5.35443019866943,44.3339805603027
SP.POP.TOTL,7378.0,30807458.94226078,123831799.33767724,8797.999999999993,630587.2500000003,5386675.500000002,19193197.749999978,1438069595.9999995
SP.URB.TOTL.IN.ZS,7378.0,57.89089617782597,24.658218458597418,13.116,37.068749999999994,57.431,77.76025,100.0
