iso3c,Country,region,grid_g_per_kwh,CO2_base_5y,CO2_scen_5y,reduction_pct_5y,prob_reduce_5y
ABW,Aruba,,587.3927532752581,0.182482,0.20814459,14.063072,0.24507657
AFG,Afghanistan,,126.44246846090002,11.069045,13.098659,18.335938,0.18741807
AGO,Angola,,93.7211000839188,34.317287,33.12258,-3.4813523,0.5691804
ALB,Albania,,30.194228322525795,6.71801,6.7932806,1.1204362,0.4776063
ARG,Argentina,,300.9711738420186,205.53044,212.42241,3.353262,0.4333341
ARM,Armenia,,221.6779200357876,11.310542,11.33193,0.1891017,0.49621806
AUS,Australia,,525.9757121170917,341.56387,346.41376,1.4199018,0.47163248
AUT,Austria,,80.54047914091461,49.369938,45.2767,-8.290953,0.659996
AZE,Azerbaijan,,477.6642752994597,75.49373,75.49373,0.0,0.5
BDI,Burundi,,30.276169366677394,1.617293,1.6611311,2.7105927,0.44599956
BEL,Belgium,,218.74817196309857,104.46492,101.41199,-2.9224455,0.5581841
BEN,Benin,,157.7487405899066,7.0695467,7.0416975,-0.39393306,0.507878
BFA,Burkina Faso,,584.6024968050225,5.3670716,5.6470957,5.217445,0.39714012
BGD,Bangladesh,,306.9839970259912,165.27412,217.20859,31.423223,0.07489239
BGR,Bulgaria,,526.9448820289003,40.562187,45.353226,11.81159,0.27990615
BIH,Bosnia and Herzegovina,,496.73224415095456,14.630157,14.692576,0.42665005,0.49146783
BLR,Belarus,,385.87608781622447,38.485134,40.623913,5.557418,0.390647
BLZ,Belize,,67.99257187001368,1.041472,0.6611489,-36.51784,0.9488956
BOL,Bolivia,,258.5876415114433,33.17009,32.73073,-1.3245702,0.52646667
BRA,Brazil,,65.83160503175964,444.1197,331.59277,-25.33707,0.8835994
BRB,Barbados,,644.0414317291469,1.3718746,1.106886,-19.315798,0.8242286
BTN,Bhutan,,30.00076471744869,1.5661409,2.4472442,56.259514,0.010978676
BWA,Botswana,,892.2009676944763,11.987188,11.462419,-4.3777523,0.586671
CAF,Central African Republic,,45.28402678760136,0.49242797,0.46594033,-5.378991,0.6059499
CAN,Canada,,310.2440188397568,291.26675,336.8203,15.639806,0.22249518
CHE,Switzerland,,146.68125189381095,65.037926,63.347363,-2.5993526,0.5518005
CHL,Chile,,249.96397078601578,150.15347,162.48532,8.212829,0.34140792
CHN,China,,549.3200369191194,10144.604,10844.492,6.8991184,0.36541688
CIV,Cote d'Ivoire,,29.169341112509677,19.941946,19.996609,0.27410984,0.494518
CMR,Cameroon,,74.23296306212457,11.691814,11.895945,1.7459273,0.46513814
COD,"Congo, Dem. Rep.",,38.66695714266534,7.494151,8.104903,8.149719,0.34254402
COG,"Congo, Rep.",,57.47946723178623,5.9128065,5.8788347,-0.57454705,0.5114889
COL,Colombia,,145.5319140964514,228.69345,198.65201,-13.136119,0.74094564
COM,Comoros,,700.0,0.60856754,0.6204258,1.9485593,0.46110752
CPV,Cabo Verde,,562.2799221568247,1.559702,1.5507329,-0.57505965,0.51149917
CRI,Costa Rica,,52.6558178294749,20.70634,20.334263,-1.7969251,0.53587675
CUB,Cuba,,366.847788387381,52.387993,53.563976,2.2447586,0.4552251
CYP,Cyprus,,579.1788537572777,8.117472,8.195765,0.9644985,0.48071954
CZE,Czechia,,407.97129821897863,76.59545,77.574234,1.277864,0.47446495
DEU,Germany,,518.1827325347832,480.19962,650.62415,35.490345,0.05524084
DJI,Djibouti,,434.10967499108864,1.5454671,1.4669222,-5.082279,0.6002681
DMA,Dominica,,491.1285477010991,0.106545314,0.09298313,-12.729031,0.7346457
DNK,Denmark,,377.09351706528383,29.674017,30.834772,3.911686,0.4223985
DOM,Dominican Republic,,513.2834533338475,84.90584,78.994,-6.962812,0.6357639
DZA,Algeria,,328.9790555654812,268.0291,252.86179,-5.6588354,0.6112826
ECU,Ecuador,,109.45751046203216,70.512375,72.09661,2.2467494,0.4551856
EGY,"Egypt, Arab Rep.",,412.3701626930677,271.3646,272.07916,0.2633214,0.49473378
ERI,Eritrea,,680.0677248201353,1.5559938,1.424934,-8.422899,0.6623606
ESP,Spain,,158.88263703311998,258.7137,259.77252,0.4092574,0.49181557
EST,Estonia,,520.0226500566251,12.114156,16.433777,35.65763,0.054546535
ETH,Ethiopia,,33.12273469980651,42.27002,42.64402,0.88478327,0.4823117
FIN,Finland,,273.73341940702153,36.515747,36.172943,-0.9387851,0.5187669
FJI,Fiji,,218.94271295389473,2.4859633,2.3300507,-6.27172,0.6228676
FRA,France,,355.96113081835415,552.48145,513.5706,-7.0429206,0.63724667
FRO,Faroe Islands,,368.9553520309252,0.008882647,0.00683105,-23.096687,0.86386096
GAB,Gabon,,234.2787410101483,3.971971,4.155923,4.631245,0.4084203
GBR,United Kingdom,,423.0075644535821,355.97693,327.12393,-8.105302,0.65665525
GEO,Georgia,,88.28337575672934,11.758675,11.09844,-5.614871,0.6104465
GHA,Ghana,,19.710473200174448,30.462183,30.475376,0.043308735,0.49913377
GIN,Guinea,,66.32374099623058,5.968061,7.243637,21.373379,0.15318055
GMB,"Gambia, The",,687.7235344426392,1.8451017,1.8584898,0.7256031,0.48549202
GNB,Guinea-Bissau,,645.8566909740958,0.6157897,0.5626604,-8.627832,0.6660173
GNQ,Equatorial Guinea,,453.3192663088576,9.149486,12.9835615,41.90483,0.033817105
GRC,Greece,,292.22412036041334,51.126217,50.699432,-0.834769,0.5166892
GRD,Grenada,,684.9435277504913,0.13902764,0.14250314,2.4998665,0.45016864
GRL,Greenland,,130.70651285536405,0.02700745,0.1638857,506.81662,2.4625603e-18
GTM,Guatemala,,114.57012352449428,33.8583,33.633007,-0.66539645,0.5133048
GUM,Guam,,663.2794781453476,0.008813158,0.0057713124,-34.514816,0.9405419
GUY,Guyana,,651.4410624570891,3.985452,4.067878,2.068162,0.45873088
HKG,"Hong Kong SAR, China",,677.4078312600531,56.970284,48.865314,-14.226664,0.7573367
HND,Honduras,,247.08733145595755,11.554448,11.552554,-0.016391277,0.5003278
HRV,Croatia,,314.8903091154528,21.231567,20.893217,-1.5936196,0.5318293
HTI,Haiti,,502.6162861657113,5.0258036,5.3149233,5.7527065,0.38693446
HUN,Hungary,,167.56932631141854,64.2738,63.08442,-1.8504977,0.5369425
IDN,Indonesia,,642.1410206969209,1500.1746,1579.9083,5.31497,0.39527372
IND,India,,648.9806918600649,3967.1062,3898.1133,-1.7391264,0.5347265
IRL,Ireland,,462.71293697329304,40.21479,39.535122,-1.6900957,0.53375053
IRN,"Iran, Islamic Rep.",,537.4887738879745,504.27582,521.4049,3.3967733,0.43247953
IRQ,Iraq,,550.2746185743407,182.83047,184.53752,0.9336829,0.48133504
ISL,Iceland,,41.143365268774026,2.6263373,2.5792282,-1.7937183,0.5358129
ISR,Israel,,524.6934451090746,78.61905,80.409805,2.2777677,0.45457026
ITA,Italy,,272.98177486581477,254.71707,257.07764,0.92674494,0.48147357
JAM,Jamaica,,238.37784406145764,7.790271,7.823471,0.4261732,0.49147734
JOR,Jordan,,331.7562608508236,31.865732,30.772787,-3.429842,0.56816965
JPN,Japan,,429.57306371633695,834.37756,825.9459,-1.0105312,0.5201996
KAZ,Kazakhstan,,640.7211929475752,206.34268,203.61288,-1.322943,0.5264342
KEN,Kenya,,103.81987230466405,44.148205,41.10685,-6.8889675,0.63439476
KGZ,Kyrgyz Republic,,198.3266277197822,14.632276,14.520256,-0.76556206,0.5153065
KHM,Cambodia,,17.828095008739265,11.500206,10.506308,-8.642441,0.6662772
KIR,Kiribati,,564.045113931483,0.050998777,0.06301185,23.555601,0.1318788
KNA,St. Kitts and Nevis,,665.370778559215,0.019618008,0.080499016,310.33224,1.6517872e-11
KOR,"Korea, Rep.",,436.9844295093213,627.5239,579.1017,-7.716399,0.64960694
KWT,Kuwait,,577.9666042356131,99.989494,98.48213,-1.5075207,0.53011394
LAO,Lao PDR,,27.861917054232634,7.1544647,10.067128,40.71113,0.037080083
LBN,Lebanon,,385.3199354403097,12.4351845,12.277223,-1.2702823,0.52538383
LBR,Liberia,,197.24011165503435,1.0415425,1.7311106,66.20642,0.0049840617
LBY,Libya,,160.05399524312347,26.307404,24.927317,-5.2460012,0.60340667
LCA,St. Lucia,,680.5129932412001,0.6259008,0.5147098,-17.764961,0.80552596
LKA,Sri Lanka,,143.77700847184366,18.65493,18.451126,-1.0924935,0.521836
LSO,Lesotho,,52.3571552192722,1.7702465,1.1754386,-33.60028,0.93631613
LTU,Lithuania,,100.62526447526392,15.183398,15.5572815,2.4624467,0.4509097
LUX,Luxembourg,,46.258378378378396,9.876019,7.7680197,-21.34462,0.8465208
LVA,Latvia,,110.633223842614,9.812387,10.159176,3.534186,0.4297834
MAC,"Macao SAR, China",,0.0,4.271366,4.3183537,1.1000633,0.4780129
MAR,Morocco,,701.4263298334523,214.57092,200.43324,-6.5888166,0.6288077
MDA,Moldova,,423.36952679511063,5.7276354,6.018663,5.081117,0.39975423
MDG,Madagascar,,316.8245426070982,4.329388,4.6323495,6.997788,0.3635884
MDV,Maldives,,655.4957360275687,5.251878,5.1535287,-1.8726468,0.537383
MEX,Mexico,,385.90429002288766,803.87714,791.8044,-1.5018165,0.53000027
MKD,North Macedonia,,444.6273316208375,8.45614,8.113765,-4.04883,0.580276
MLI,Mali,,175.78299367363945,5.6112833,9.034793,61.01117,0.007533054
MMR,Myanmar,,414.57233623675313,60.150185,53.787148,-10.578585,0.6997876
MNG,Mongolia,,800.7281079160565,28.267248,28.11858,-0.52593946,0.51051724
MOZ,Mozambique,,201.31323115473154,7.680046,7.710234,0.3930688,0.49213925
MRT,Mauritania,,553.0643394549593,7.441228,7.175872,-3.5660267,0.5708407
MUS,Mauritius,,607.828858693783,6.7674217,6.5775375,-2.8058589,0.55588275
MWI,Malawi,,117.0279505532393,5.2939234,7.687907,45.22135,0.026142364
MYS,Malaysia,,573.5158502689862,276.12042,270.8152,-1.9213498,0.53835154
NAM,Namibia,,96.9882746728465,4.682564,4.6958923,0.28464794,0.49430728
NCL,New Caledonia,,265.89760824942374,1.9405655,1.9924625,2.6743293,0.44671646
NER,Niger,,689.0541211536637,3.3268666,3.6036744,8.320379,0.33947596
NGA,Nigeria,,310.37639827684063,129.35472,127.2338,-1.6396165,0.5327454
NIC,Nicaragua,,236.81187387255798,6.356819,6.4902024,2.0982742,0.45813277
NLD,Netherlands,,287.71669465646266,212.68289,214.5365,0.8715391,0.48257628
NOR,Norway,,206.31266165775463,43.604088,39.253086,-9.978426,0.6896051
NPL,Nepal,,28.228129971189826,14.06559,12.703701,-9.682417,0.6845137
NZL,New Zealand,,78.48686524975447,37.29124,34.957233,-6.2588634,0.62262595
PAK,Pakistan,,339.1969320684734,462.00116,393.5877,-14.808071,0.76578206
PAN,Panama,,62.4744204439029,18.248951,17.938517,-1.7011106,0.5339698
PER,Peru,,332.37959842469786,78.83779,76.36655,-3.1345963,0.5623655
PHL,Philippines,,598.4793732440531,218.51363,219.28159,0.35145283,0.4929714
PNG,Papua New Guinea,,284.04928466260935,10.400858,7.593952,-26.987255,0.896505
POL,Poland,,610.3446063630925,269.4264,273.2142,1.4058828,0.47191197
PRI,Puerto Rico (US),,441.07696348442335,31.648767,19.881855,-37.179684,0.9514029
PRT,Portugal,,135.45361916943563,34.75533,38.621876,11.1250515,0.29110897
PRY,Paraguay,,30.758405826327415,8.909784,9.005525,1.0745525,0.4785222
PYF,French Polynesia,,448.43860984031505,1.4358376,1.3542119,-5.684882,0.6117776
ROU,Romania,,255.8506435637677,102.66426,103.335655,0.65397024,0.48692355
RUS,Russian Federation,,462.2055300019332,1625.2677,1657.7806,2.000463,0.46007589
RWA,Rwanda,,117.06705916959588,5.2158127,4.9788213,-4.5437098,0.58988667
SDN,Sudan,,148.8697719987488,14.455002,14.248423,-1.4291167,0.5285512
SEN,Senegal,,575.0825570938226,11.600794,11.688153,0.7530451,0.48494366
SGP,Singapore,,18.45299500358811,54.71631,54.357964,-0.654912,0.51309526
SLB,Solomon Islands,,362.4281222158612,0.531295,0.5854801,10.1986885,0.3066357
SLE,Sierra Leone,,114.99732143565805,2.8486483,4.0277476,41.39154,0.035184775
SLV,El Salvador,,81.23691904766693,9.3919525,9.324265,-0.7207036,0.5144101
SOM,Somalia,,614.5072393232329,1.2056183,1.0740346,-10.9142065,0.70539796
STP,Sao Tome and Principe,,633.1990265020522,0.06610565,0.07605023,15.043461,0.2308573
SUR,Suriname,,312.96967956753554,2.6178908,2.5970318,-0.79678893,0.51593035
SVK,Slovak Republic,,103.09142573527022,41.142735,39.69361,-3.5221875,0.56998134
SVN,Slovenia,,189.61060875913833,16.398842,16.326405,-0.44172406,0.5088336
SWE,Sweden,,252.20454231811584,45.713455,48.23106,5.507362,0.39160064
SWZ,Eswatini,,110.63094616010798,1.1649545,1.0083046,-13.446874,0.74568886
SYC,Seychelles,,665.4678054071119,0.17097366,0.17157035,0.34899712,0.4930205
SYR,Syrian Arab Republic,,567.1494053881893,54.138874,53.78717,-0.649631,0.5129897
TCA,Turks and Caicos Islands,,688.6355790716038,0.03147789,0.027879883,-11.430269,0.7139041
TCD,Chad,,672.6012953264323,4.8293715,4.259806,-11.793775,0.71980655
TGO,Togo,,234.1812631718147,3.324501,3.3038898,-0.6199837,0.5123971
THA,Thailand,,464.07152732042493,298.9624,289.60052,-3.1314552,0.5623036
TJK,Tajikistan,,33.059112838585676,7.3255982,6.288195,-14.161343,0.7563751
TLS,Timor-Leste,,697.1267354428068,1.7085187,1.6871039,-1.2534201,0.5250474
TON,Tonga,,568.887189706227,0.24497978,0.3109558,26.931202,0.10391182
TTO,Trinidad and Tobago,,514.2862754855425,31.42103,31.999582,1.8412948,0.46324053
TUN,Tunisia,,455.99416785041973,31.702494,33.491234,5.642271,0.38903233
TUR,Turkiye,,472.32705089465423,410.93115,397.5191,-3.2638192,0.5649081
TZA,Tanzania,,180.51352510503898,28.205194,26.817108,-4.921383,0.5971756
UGA,Uganda,,40.66609884899894,7.2462587,7.8922706,8.915114,0.32889014
UKR,Ukraine,,263.9566371072607,157.36713,155.08347,-1.4511704,0.52899086
URY,Uruguay,,83.84475682613757,8.745249,8.884931,1.5972257,0.46809894
USA,United States,,493.0602141306348,4571.96,4640.132,1.4910817,0.47021365
UZB,Uzbekistan,,554.5314369430338,152.55466,180.39445,18.249058,0.18847886
VCT,St. Vincent and the Grenadines,,541.0995283525623,0.2731663,0.22062941,-19.232565,0.82326186
VEN,"Venezuela, RB",,91.49651484744004,126.970116,133.17805,4.8892975,0.403442
VIR,Virgin Islands (U.S.),,680.8226533694206,0.0046390584,0.0035166405,-24.19495,0.8738675
VNM,Viet Nam,,367.07292852541156,326.97174,334.82147,2.400732,0.4521324
VUT,Vanuatu,,447.73716090782517,0.26598606,0.23530996,-11.532974,0.7155793
WSM,Samoa,,303.45648015335985,0.25029954,0.22236207,-11.161613,0.70949423
YEM,"Yemen, Rep.",,540.2792007395875,17.273281,17.065882,-1.2006938,0.5239954
ZAF,South Africa,,758.7787682621716,508.0001,492.71405,-3.009063,0.5598923
ZMB,Zambia,,89.12107282548365,11.173308,8.57342,-23.268747,0.8654716
ZWE,Zimbabwe,,183.53646467078357,11.666107,10.56224,-9.462177,0.6806964
